id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
0mbbmAOtOOMFzmnQO6oRTt,De Volta Pro Aconchego,samba,https://open.spotify.com/track/0mbbmAOtOOMFzmnQO6oRTt,19.0,0.682,0.448,0.158,3.87e-06,0.188,0.0322,278560.0,9.0,-17.157,0.0,112.124,0.19,73.0,1998-01-01,0.0,9552
5EEsXfqj3q7fNrEcGAg2jw,Grão De Areia - Ao Vivo Em São Paulo / 2018,samba,https://open.spotify.com/track/5EEsXfqj3q7fNrEcGAg2jw,44.0,0.157,0.623,0.821,0.0,0.906,0.0421,212333.0,8.0,-7.797999999999999,1.0,103.948,0.7090000000000001,79.0,2019-04-12,0.0,9554
6yqT6StscZtjyKOPTD4cqr,Desafinado,samba,https://open.spotify.com/track/6yqT6StscZtjyKOPTD4cqr,27.0,0.85,0.589,0.312,8.79e-06,0.119,0.32299999999999995,297586.0,2.0,-15.82,1.0,124.486,0.454,79.0,2006-09-19,0.0,9555
7qaP5Ydw9fFWmrE4lEEtXS,A felicidade,samba,https://open.spotify.com/track/7qaP5Ydw9fFWmrE4lEEtXS,26.0,0.349,0.667,0.206,0.00039,0.134,0.32299999999999995,198933.0,9.0,-14.884,0.0,148.45,0.411,79.0,1978,0.0,9556
4cykyUM6I8o9uLAXYmaAOT,Chega De Saudade - Live,samba,https://open.spotify.com/track/4cykyUM6I8o9uLAXYmaAOT,23.0,0.7859999999999999,0.506,0.414,2.77e-05,0.974,0.0584,228533.0,9.0,-14.399,1.0,86.37200000000001,0.5920000000000001,73.0,2020-04-17,0.0,9558
3bQHD9wNbryd8pcb6zcPzz,Nao Vou Pra Casa,samba,https://open.spotify.com/track/3bQHD9wNbryd8pcb6zcPzz,18.0,0.972,0.564,0.0269,0.609,0.109,0.0936,176173.0,4.0,-24.9,1.0,92.135,0.6779999999999999,3.0,1999-01-01,0.0,9559
3LcGqv91NIBQaUmnNbsKu8,Ponta De Lança Africano,samba,https://open.spotify.com/track/3LcGqv91NIBQaUmnNbsKu8,42.0,0.253,0.6509999999999999,0.91,0.0,0.472,0.2,232026.0,1.0,-3.834,0.0,96.792,0.654,43.0,1976-01-01,0.0,9560
1Fxoj2yydAJV8wDWlglgAo,All I Want,samba,https://open.spotify.com/track/1Fxoj2yydAJV8wDWlglgAo,30.0,0.359,0.527,0.618,5.98e-06,0.16899999999999998,0.175,204733.0,7.0,-6.45,0.0,177.00099999999995,0.469,79.0,1978,0.0,9561
5WrDIWli1pRknySAN9Ieu8,The Empty Boat - Remastered 2006,samba,https://open.spotify.com/track/5WrDIWli1pRknySAN9Ieu8,32.0,0.0673,0.218,0.522,9.47e-06,0.125,0.0326,255440.0,5.0,-8.78,1.0,74.584,0.429,77.0,1969-01-01,0.0,9562
1Titm76tFsIqqjjITUYRfx,"É Corpo, É Alma, É Religião - Ao Vivo Na Lapa",samba,https://open.spotify.com/track/1Titm76tFsIqqjjITUYRfx,39.0,0.501,0.433,0.8290000000000001,0.0,0.966,0.16899999999999998,226694.0,6.0,-7.737999999999999,0.0,110.48,0.8370000000000001,79.0,2016-07-01,0.0,9563
7zmPKMVz5Tu4HyYPQrlMHa,Do Fundo do Nosso Quintal,samba,https://open.spotify.com/track/7zmPKMVz5Tu4HyYPQrlMHa,46.0,0.54,0.66,0.85,1.46e-06,0.224,0.117,146666.0,2.0,-6.456,0.0,109.32,0.912,79.0,2016-12-09,0.0,9564
0bbh5GFICozcJn3ihCsuf3,"Quilombo, o el Dorado Negro",samba,https://open.spotify.com/track/0bbh5GFICozcJn3ihCsuf3,17.0,0.258,0.669,0.616,5.05e-05,0.0643,0.0363,282840.0,11.0,-13.451,0.0,105.533,0.873,40.0,2007-03-26,0.0,9565
7cHFPtdFTUnIKy2E6yIJ70,O Tempo Não Para,samba,https://open.spotify.com/track/7cHFPtdFTUnIKy2E6yIJ70,51.0,0.00487,0.657,0.597,1.03e-06,0.324,0.0333,256837.0,7.0,-6.86,0.0,134.959,0.585,79.0,2018-07-31,0.0,9566
