,id,name,artist,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit
6327,5XWofbcLbz3PPCQAoh2gzV,Iris,Eir Aoi,j-rock,51.0,0.099,0.589,0.893,0.0,0.278,0.0481,247426.0,9.0,-2.632,0.0,129.056,0.701,78.0,2019-04-17,0.0
6328,51fG8o0BHEcX3pWidaP2tM,What You Need,Greensky Bluegrass,j-rock,41.0,0.323,0.549,0.525,0.245,0.421,0.0291,409974.0,9.0,-12.141,1.0,104.049,0.533,77.0,2019-01-18,0.0
6329,19g05c3N1AuJ5qcdsqg8qS,LIFE,fox capture plan,j-rock,42.0,0.0979,0.373,0.667,0.577,0.12,0.0386,275520.0,11.0,-6.373,0.0,124.048,0.71,79.0,2018-10-10,0.0
6330,7odHgoLFi3GQ90E9PeraI3,Son of a Preacher Man,Dusty Springfield,j-rock,62.0,0.394,0.401,0.498,0.0,0.13,0.0757,149160.0,4.0,-10.682,1.0,181.701,0.816,1.0,1969-03-31,0.0
6331,5cDfI3KOa64zbuUgD6a4hG,Blue,The Jayhawks,j-rock,54.0,0.225,0.527,0.572,0.0,0.235,0.0269,189506.0,4.0,-8.199,1.0,136.117,0.364,2.0,1995-02-14,0.0
6332,4OYa0n6GjNcj3SNN5JgNyJ,Love Is the Most High,Fortunate Youth,j-rock,40.0,0.06,0.889,0.556,0.00018,0.0748,0.0697,242573.0,4.0,-7.956,0.0,126.018,0.969,79.0,2013-03-19,0.0
6333,0qS4BUme5UmFxBnH8c26Dl,Stay the Fuck Inside,The Holdup,j-rock,42.0,0.482,0.825,0.286,2.53e-05,0.105,0.0951,182485.0,6.0,-12.175,1.0,84.521,0.433,79.0,2020-04-06,1.0
6334,6K8oEYCYwvEQWvq8hEDuDi,So It Goes,Nick Lowe,j-rock,42.0,0.00192,0.522,0.634,1.71e-06,0.575,0.0507,149200.0,9.0,-11.688,1.0,140.43,0.468,1.0,1989-10-17,0.0
6335,3aebringvaYqzX9e6qV0pu,Right and Left,Survive Said The Prophet,j-rock,45.0,0.045,0.392,0.947,0.0,0.119,0.0568,187373.0,7.0,-3.31,1.0,113.11,0.583,78.0,2018-09-28,0.0
6336,6wRgknJXUfNGbcumtALNQH,You Enjoy Myself,Phish,j-rock,44.0,0.0822,0.428,0.483,0.382,0.0753,0.046,590000.0,0.0,-11.912,1.0,98.096,0.542,79.0,1992-10-20,0.0
6337,0gahbZxNz6wn2Gz3IBsS8o,Toorisugita Kisetsu No Sora De,THE ORAL CIGARETTES,j-rock,42.0,0.00315,0.49,0.955,0.0,0.335,0.0736,196453.0,8.0,-3.015,0.0,142.037,0.735,78.0,2016-01-05,0.0
6338,1kBOKx4fVuxgFbUiIewH2W,Sand - Live,Phish,j-rock,35.0,0.00925,0.416,0.855,0.666,0.549,0.0376,580693.0,4.0,-8.902,0.0,110.63,0.508,79.0,2016-05-06,0.0
6339,5XPwrxvF1AUHwgN2Y9rRKe,Slowly but surely I go on,THE ORAL CIGARETTES,j-rock,28.0,0.0708,0.576,0.804,4.65e-06,0.242,0.0624,236175.0,11.0,-4.399,1.0,98.027,0.541,78.0,2020-04-29,0.0
